Age,Gender,Education Level,Years of Experience,Salary
32,Male,Bachelor's,5,90000
28,Female,Master's,3,65000
45,Male,PhD,15,150000
36,Female,Bachelor's,7,60000
52,Male,Master's,20,200000
29,Male,Bachelor's,2,55000
42,Female,Master's,12,120000
31,Male,Bachelor's,4,80000
26,Female,Bachelor's,1,45000
38,Male,PhD,10,110000
29,Male,Master's,3,75000
48,Female,Bachelor's,18,140000
35,Male,Bachelor's,6,65000
40,Female,Master's,14,130000
27,Male,Bachelor's,2,40000
44,Male,Bachelor's,16,125000
33,Female,Master's,7,90000
39,Male,PhD,12,115000
25,Female,Bachelor's,0,35000
51,Male,Bachelor's,22,180000
34,Female,Master's,5,80000
47,Male,Master's,19,190000
30,Male,Bachelor's,2,50000
36,Female,Bachelor's,9,60000
41,Male,Master's,13,140000
28,Female,Bachelor's,3,45000
37,Female,Master's,11,110000
24,Male,Bachelor's,1,40000
43,Female,PhD,15,140000
33,Male,Master's,6,90000
50,Male,Bachelor's,25,250000
31,Female,Bachelor's,4,55000
29,Male,Master's,3,75000
39,Female,Bachelor's,10,65000
46,Male,PhD,20,170000
27,Male,Bachelor's,2,45000
35,Female,Bachelor's,7,60000
42,Male,Master's,14,115000
26,Female,Bachelor's,1,40000
49,Male,Bachelor's,21,160000
34,Female,Master's,5,80000
48,Male,Master's,18,190000
30,Male,Bachelor's,3,60000
36,Female,Bachelor's,8,45000
41,Male,Master's,13,130000
28,Female,Bachelor's,2,40000
32,Male,Bachelor's,5,75000
45,Female,Master's,16,180000
38,Male,PhD,11,120000
25,Male,Bachelor's,0,35000
51,Female,Bachelor's,22,130000
33,Male,Master's,7,85000
40,Female,Bachelor's,12,60000
47,Male,Master's,19,200000
29,Female,Bachelor's,3,50000
36,Male,Bachelor's,9,95000
27,Female,Master's,2,65000
43,Male,PhD,17,140000
30,Female,Bachelor's,4,55000
35,Male,Master's,7,105000
51,Female,Master's,23,170000
29,Male,Bachelor's,3,50000
40,Female,Bachelor's,12,80000
47,Male,PhD,21,180000
26,Male,Bachelor's,1,35000
38,Female,Master's,10,90000
46,Male,Bachelor's,19,120000
31,Female,Bachelor's,5,45000
34,Male,Master's,8,90000
49,Female,Master's,18,150000
33,Male,Bachelor's,6,65000
39,Female,Bachelor's,11,70000
45,Male,PhD,16,190000
28,Male,Bachelor's,2,40000
42,Female,Master's,14,120000
37,Male,Bachelor's,10,95000
50,Female,Bachelor's,22,160000
32,Male,Master's,6,100000
48,Female,Master's,20,180000
30,Female,Bachelor's,3,55000
36,Male,Bachelor's,8,70000
41,Female,Master's,13,80000
25,Male,Bachelor's,0,30000
52,Male,PhD,24,250000
29,Female,Bachelor's,2,40000
34,Female,Master's,10,95000
27,Male,Bachelor's,2,45000
40,Female,Bachelor's,15,80000
46,Male,Master's,21,135000
31,Female,Bachelor's,6,55000
36,Male,PhD,11,120000
29,Female,Bachelor's,3,40000
43,Male,Bachelor's,18,105000
52,Female,Master's,25,170000
33,Male,Bachelor's,7,75000
39,Female,Bachelor's,12,65000
47,Male,PhD,22,160000
26,Male,Bachelor's,1,35000
38,Female,Master's,10,90000
45,Male,Bachelor's,20,110000
31,Female,Bachelor's,5,45000
35,Male,Master's,8,95000
49,Female,Master's,19,150000
33,Male,Bachelor's,5,50000
39,Female,Master's,13,80000
44,Male,PhD,16,220000
30,Female,Bachelor's,3,50000
36,Male,Bachelor's,7,60000
41,Female,Master's,14,100000
28,Male,Bachelor's,2,40000
42,Female,Master's,15,110000
37,Male,Bachelor's,9,95000
50,Female,Bachelor's,22,130000
32,Male,Master's,6,90000
23,Female,Bachelor's,0,35000
31,Male,Master's,6,95000
40,Female,Bachelor's,15,65000
48,Male,PhD,20,170000
29,Female,Bachelor's,3,45000
35,Male,Master's,10,120000
42,Female,Bachelor's,17,100000
53,Male,Master's,25,180000
33,Female,Bachelor's,5,50000
38,Male,Bachelor's,11,80000
44,Female,PhD,16,140000
26,Male,Bachelor's,2,40000
37,Female,Master's,9,95000
45,Male,Bachelor's,18,110000
32,Female,Bachelor's,4,50000
34,Male,Master's,8,105000
50,Female,Master's,21,160000
29,Male,Bachelor's,3,45000
40,Female,Master's,12,100000
47,Male,PhD,22,160000
27,Male,Bachelor's,1,35000
39,Female,Bachelor's,10,55000
46,Male,Master's,19,140000
30,Female,Bachelor's,4,50000
36,Male,Bachelor's,7,60000
43,Female,Master's,14,120000
28,Male,Bachelor's,2,40000
41,Female,Master's,13,110000
33,Male,Bachelor's,5,50000
47,Male,Bachelor's,20,135000
25,Female,Master's,1,40000
34,Male,Bachelor's,8,90000
42,Female,PhD,16,150000
31,Male,Bachelor's,4,60000
38,Female,Bachelor's,10,80000
45,Male,Master's,19,175000
29,Female,Bachelor's,3,45000
36,Male,Master's,11,120000
43,Female,PhD,18,140000
26,Male,Bachelor's,2,35000
37,Female,Master's,9,95000
44,Male,Bachelor's,14,110000
32,Female,Bachelor's,5,50000
33,Male,Master's,7,115000
51,Female,PhD,23,185000
28,Male,Bachelor's,2,40000
39,Female,Bachelor's,12,90000
48,Male,Master's,21,175000
30,Female,Bachelor's,3,45000
35,Male,Bachelor's,7,80000
41,Female,Master's,13,120000
27,Male,Bachelor's,1,35000
40,Female,Bachelor's,14,110000
46,Male,PhD,18,150000
31,Female,Bachelor's,4,50000
34,Male,Master's,9,105000
50,Female,Master's,20,180000
29,Male,Bachelor's,2,40000
43,Male,Bachelor's,16,140000
26,Female,Master's,1,45000
35,Male,Bachelor's,7,85000
42,Female,PhD,18,140000
31,Male,Bachelor's,4,50000
38,Female,Bachelor's,10,80000
46,Male,Master's,20,170000
29,Female,Bachelor's,2,40000
37,Male,Master's,9,105000
44,Female,PhD,15,145000
27,Male,Bachelor's,2,40000
36,Female,Bachelor's,8,85000
43,Male,Bachelor's,14,130000
33,Female,Master's,6,95000
34,Male,Bachelor's,9,100000
50,Female,PhD,22,180000
28,Male,Bachelor's,1,35000
39,Female,Bachelor's,12,95000
47,Male,Master's,19,170000
30,Female,Bachelor's,3,45000
34,Male,Bachelor's,7,95000
40,Female,Master's,13,120000
28,Male,Bachelor's,2,40000
41,Female,Bachelor's,11,90000
45,Male,PhD,17,155000
32,Female,Bachelor's,5,55000
35,Male,Master's,9,110000
